L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev	time	bytes
20	20000	0.0	0	2	64	0.1	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.1	20	0.9866822108612634	20047	0.0009903	135712
20	20000	0.0	0	1	1	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	0.6283185307179586	20	0.9398764285331175	30001	1.35e-5	1984
20	20000	0.0	0	2	1	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	0.6283185307179586	20	0.9636301397594087	25001	0.000275	41184
20	20000	0.0	0	1	4	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	0.6283185307179586	20	0.9427827994562837	22501	4.79e-5	6496
20	20000	0.0	0	2	4	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	0.6283185307179586	20	0.9644984130935308	21251	0.0003049	45696
20	20000	0.0	0	1	16	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	0.6283185307179586	20	0.9506744644486619	20626	0.0002111	24544
20	20000	0.0	0	2	16	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	0.6283185307179586	20	0.9672284326885645	20281	0.0004485	63520
20	20000	0.0	0	1	64	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	0.6283185307179586	20	0.9582490999587128	20125	0.0007002	96576
20	20000	0.0	0	2	64	0.6283185307179586	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	0.6283185307179586	20	0.9671556793546124	20047	0.0009807	135712
20	20000	0.0	0	1	1	1.0	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	10000	0.0	1.0	20	0.9187722541957551	30001	1.39e-5	1984
20	20000	0.0	0	2	1	1.0	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	5000	0.0	1.0	20	0.9524686369760682	25001	0.0002583	41184
20	20000	0.0	0	1	4	1.0	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	2500	0.0	1.0	20	0.9170743720469007	22501	4.6e-5	6496
20	20000	0.0	0	2	4	1.0	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	1250	0.0	1.0	20	0.9546938585172405	21251	0.0002956	45696
20	20000	0.0	0	1	16	1.0	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	625	0.0	1.0	20	0.9295364641764461	20626	0.0001804	24544
20	20000	0.0	0	2	16	1.0	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	312	0.0	1.0	20	0.9568913488711509	20281	0.0004365	63520
20	20000	0.0	0	1	64	1.0	1.0	0.0	0.02	0.101	1.0	1.0	1.0	0.0	156	0.0	1.0	20	0.9459785263792924	20125	0.000839	96576
20	20000	0.0	0	2	64	1.0	1.0	0.0	0.02	0.101	1.0	1.0	Inf	0.0	78	0.0	1.0	20	0.9582747638728598	20047	0.0012049	135712
20	20000	0.0	0	1	1	0.01	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	0.6401198792503472	20	0.47659712417172473	30001	1.63e-5	1984
20	20000	0.0	0	2	1	0.01	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	0.4219901471793168	20	0.8785537734857167	24996	0.0002556	41184
20	20000	0.0	0	1	4	0.01	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	0.2783579185360121	20	0.8354083606270915	22501	4.62e-5	6496
20	20000	0.0	0	2	4	0.01	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	0.1838328279676258	20	0.941352395439015	21251	0.0003279	45696
20	20000	0.0	0	1	16	0.01	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	0.12169417269950084	20	0.9562582583947504	20626	0.0001837	24544
20	20000	0.0	0	2	16	0.01	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	0.08085916174625053	20	0.9702769054049829	20281	0.000447	63520
20	20000	0.0	0	1	64	0.01	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	0.05426315847816074	20	0.9824842611838431	20125	0.00085	96576
20	20000	0.0	0	2	64	0.01	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	0.03703211945055782	20	0.9849977537981701	20047	0.0013834	135712
20	20000	0.0	0	1	1	0.1	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	6.401198792503472	20	0.8408878499756259	29887	1.44e-5	1984
20	20000	0.0	0	2	1	0.1	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	4.219901471793168	20	0.7405602546464657	25001	0.0002591	41184
20	20000	0.0	0	1	4	0.1	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	2.7835791853601215	20	0.6205703100880583	22420	4.63e-5	6496
20	20000	0.0	0	2	4	0.1	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	1.838328279676258	20	0.8231721821354588	21251	0.0002958	45696
20	20000	0.0	0	1	16	0.1	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	1.2169417269950085	20	0.6560849097820147	20593	0.0002069	24544
20	20000	0.0	0	2	16	0.1	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	0.8085916174625054	20	0.9085231527622186	20281	0.0004444	63520
20	20000	0.0	0	1	64	0.1	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	0.5426315847816074	20	0.8951742247067869	20125	0.0011662	96576
20	20000	0.0	0	2	64	0.1	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	0.3703211945055782	20	0.9525318476600976	20047	0.0016087	135712
20	20000	0.0	0	1	1	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	40.219918201393526	20	1.0	1	0.0	0
20	20000	0.0	0	2	1	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	26.514422925316346	20	0.9824630961462899	24676	0.0002996	41184
20	20000	0.0	0	1	4	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	17.489743838825635	20	1.0	1	0.0	0
20	20000	0.0	0	2	4	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	11.550557236634589	20	0.6837648778171431	21251	0.0002956	45696
20	20000	0.0	0	1	16	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	7.646270378748787	20	0.9923888971831427	20065	0.0001778	24544
