L	σ	M	order	n	η0	α	ApK	h0	γ	NpL	trust	tolerance	seed	nfev	f0	f1	f2	f3	minf
20	0.0	20000	1	16	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9868468836419557	0.9864148571530237	0.9861694138426551	0.9859921266420476
20	0.0	20000	2	16	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9916137715628954	0.9891092827389134	0.9877827178954223	0.9868641463708502
20	0.0	20000	1	64	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.987711647589401	0.9872522262903535	0.9870019684485937	0.9868172931251428
20	0.0	20000	2	64	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9922127097024172	0.9891608785506073	0.9879280063752439	0.9869381744367043
20	0.0	20000	1	1	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9745596567693229	0.9715026310032402	0.9697299645188103	0.9684409663573615
20	0.0	20000	2	1	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9799007672726191	0.9740911845208198	0.9697659546001487	0.9658906571894604
20	0.0	20000	1	4	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9746848274183022	0.971633097861665	0.969862706216475	0.9685735378194698
20	0.0	20000	2	4	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9821702417932868	0.9746822678038558	0.9699276739431597	0.9664997408322593
20	0.0	20000	1	16	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9775089980038117	0.9745231769848635	0.9727887445773649	0.9715216092646344
20	0.0	20000	2	16	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9827808544348163	0.9748229387243587	0.9700885685289037	0.9669383734896367
20	0.0	20000	1	64	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9820264326574625	0.9791673940294765	0.9774879127577264	0.9762450525912568
20	0.0	20000	2	64	0.6283185307179586	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9851624968549946	0.975941587959888	0.9710228481982422	0.9677583579735495
20	0.0	20000	1	1	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9637105740938248	0.9584504974593709	0.9554714254559892	0.9532810465913193
20	0.0	20000	2	1	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9766717179414439	0.967898278110501	0.9617683826927543	0.9567818691208472
20	0.0	20000	1	4	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9694510261538632	0.9643625960196731	0.9614411886041552	0.9592970663665703
20	0.0	20000	2	4	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9776699621177101	0.9671614786012789	0.9609512329208926	0.9566965097487482
