L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	16	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	625	0.0	0.6283185307179586	10	0.9752584071299168	20626
20	20000	0.01	0	2	16	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	312	0.0	0.6283185307179586	10	0.9385338869401434	20086
20	20000	0.01	0	1	64	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	156	0.0	0.6283185307179586	10	0.9772077837398344	19996
20	20000	0.01	0	2	64	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	78	0.0	0.6283185307179586	10	0.964460224432328	20047
20	20000	0.01	0	1	1	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	10000	0.0	1.0	10	0.9788379903847413	30001
20	20000	0.01	0	2	1	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	5000	0.0	1.0	10	0.9708106450510349	25001
20	20000	0.01	0	1	4	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	2500	0.0	1.0	10	0.987445371084656	22501
20	20000	0.01	0	2	4	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	1250	0.0	1.0	10	0.9433038507566516	21251
20	20000	0.01	0	1	16	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	625	0.0	1.0	10	0.986086715210747	20626
20	20000	0.01	0	2	16	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	312	0.0	1.0	10	0.9412886313693173	20086
20	20000	0.01	0	1	64	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	156	0.0	1.0	10	0.9867041278490378	20125
20	20000	0.01	0	2	64	1.0	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	78	0.0	1.0	10	0.962198856198046	20047
20	20000	0.01	0	1	1	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	0.6401198792503472	10	0.9083580478320453	30001
20	20000	0.01	0	2	1	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	0.4219901471793168	10	0.8933513720196913	25001
20	20000	0.01	0	1	4	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	0.2783579185360121	10	0.9512022220143147	22501
20	20000	0.01	0	2	4	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	0.1838328279676258	10	0.9494186461158022	21251
20	20000	0.01	0	1	16	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	0.12169417269950084	10	0.9850331771543239	20626
20	20000	0.01	0	2	16	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	0.08085916174625053	10	0.9604225587360365	20281
20	20000	0.01	0	1	64	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	0.05426315847816074	10	0.9932256618315168	20125
20	20000	0.01	0	2	64	0.01	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	0.03703211945055782	10	0.9770561291897861	20047
20	20000	0.01	0	1	1	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	6.401198792503472	10	0.775113580138759	30001
20	20000	0.01	0	2	1	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	4.219901471793168	10	0.7905520045109206	25001
20	20000	0.01	0	1	4	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	2.7835791853601215	10	0.8381798029781523	18361
20	20000	0.01	0	2	4	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	1.838328279676258	10	0.8746537135448597	21251
